Episodes	Reward	AvgReward	Iterations	Loss
0	-172.43246134505793	-172.43246134505793	96	40.62835494428873
1	-174.82246756843602	-173.62746445674696	61	1184.4922646582127
2	-302.79429734241535	-216.68307541863643	79	1651.8670159876347
3	-311.4195614402071	-240.3671969240291	100	3368.0017427802086
4	-184.52124682187713	-229.1980069035987	108	3376.673233151436
5	-338.7020132666355	-247.4486746307715	79	2779.091350018978
6	-174.8046628636447	-237.0709586640391	86	3802.281804084778
7	-247.79528990426525	-238.41150006906736	85	2844.727037549019
8	-292.5448652086146	-244.42631841790595	105	2364.613813698292
9	-124.19211393299543	-232.40289796941488	64	1818.900689959526
10	-180.63651609945578	-227.69686325396404	66	1225.03460252285
11	-111.49907616582192	-218.0137143299522	70	2245.106390595436
12	-308.5496749718239	-224.97801899471156	90	3642.777422249317
13	-100.76576451003743	-216.10571510294912	84	2365.925727367401
14	-157.65226848183065	-212.20881866154122	78	2382.643556714058
15	-136.51018866266307	-207.47765428661137	77	1944.3490220308304
16	-162.49106608423335	-204.83138439235384	117	4195.885647475719
17	-267.2699328905347	-208.30019264225277	101	3029.6992444992065
18	-324.59664499111307	-214.42105855535067	82	3145.7013713121414
19	-158.48253752162202	-211.62413250366427	117	5375.4688267707825
20	-153.63345890902232	-208.86267185630035	82	2661.1852043271065
21	-226.69550201005433	-209.67325504510734	72	1974.683892250061
22	-169.94164181150398	-207.94579360016806	85	2814.6205748915672
23	-318.257792491205	-212.5421268872946	95	2417.8278551101685
24	-260.9827449001229	-214.47975160780774	107	3135.1318724751472
25	-121.96125594892354	-210.92134792861987	60	2148.642147243023
26	-271.2151141528252	-213.15445038136824	108	3056.44528901577
27	-120.76847733386916	-209.85495134395754	78	1889.949669957161
28	-239.32959857473455	-210.8713184898464	92	3030.9831941127777
29	-378.4642361570803	-216.4577490787542	111	3822.6908811330795
30	-282.2094520516091	-218.5787717552979	96	2906.938250184059
31	-156.32039110569448	-216.6331973599978	71	2197.1508831977844
32	-139.71688996950627	-214.30240016634656	81	2886.652511239052
33	-275.77552568397437	-216.1104332698062	81	2436.5408248901367
34	-175.7737711136857	-214.95795720820277	108	3477.602248609066
35	-428.7659039896362	-220.89706684102035	94	2696.163991689682
36	-112.45046865183703	-217.96607770077216	62	2047.0848127007484
37	-185.94626332519445	-217.12345100667798	100	2999.7065314650536
38	-50.66805732685629	-212.85536398924668	120	4103.968651235104
39	-361.5265674339659	-216.57214407536466	103	3530.992241680622
40	-168.32726336794968	-215.39543966786675	114	4462.951895773411
41	-396.7951232395661	-219.7144797529072	96	2075.2406162023544
42	-149.24917614824903	-218.0757517621012	78	3088.1602640151978
43	-158.78724193237508	-216.72828562960743	108	3517.856092453003
44	-276.6249323952379	-218.05932222439924	83	3371.409673690796
45	-139.67746193663982	-216.35536873988275	82	2791.8561849594116
46	-132.7489053332474	-214.57650781633728	68	2508.1442064642906
47	-33.39778019267419	-210.80195099084426	122	4726.163352668285
48	-288.6385241714959	-212.39045248432694	101	3391.8445621728897
49	-229.5384105226147	-212.7334116450927	105	3122.0205255150795
50	-165.01350894347314	-211.7977272783943	74	2605.1161638498306
51	-556.0369310823143	-218.4177119669312	105	3141.9121661782265
52	-161.8056652846377	-217.34956014273698	65	2176.525394141674
53	-210.57325534040132	-217.2240730167678	86	3285.0821140408516
54	-207.55976298215808	-217.0483582888658	62	2041.7337752580643
55	-190.25674135628253	-216.56993655792684	82	3245.370544075966
56	-259.7922311044663	-217.32822242716435	105	3344.5156071186066
57	-397.27549694775416	-220.4307616430366	98	2638.1506686210632
58	-221.15089614716285	-220.44296731259806	116	3176.7236537337303
59	-305.8556652987893	-221.86651227903457	65	2483.16700732708
60	-256.5101920638781	-222.43444145583527	104	4336.346132278442
61	-207.31602446167665	-222.19059602044564	103	4151.670707523823
62	-259.3544813951179	-222.78049896290074	93	4397.402079761028
63	-132.8894084015697	-221.37595067287998	82	2236.316466450691
64	-269.5887111222495	-222.11768544902412	71	2465.1689260601997
65	-324.6391961421227	-223.67104167164683	108	2967.0096846818924
66	-363.66888666823786	-225.76056174622283	116	4609.2162962555885
67	-159.50429146609457	-224.7862048303386	95	4117.965815544128
68	-152.78620942474612	-223.74272663605464	87	3415.976695239544
69	-140.253490768241	-222.55002326651444	72	2422.1654993891716
70	-159.59685011533188	-221.6633588559344	83	2745.303230404854
71	-143.38604625946147	-220.57617395876116	76	3392.575963973999
72	-295.4765424960158	-221.60220640447696	116	3730.9523599743843
73	-166.1563856698353	-220.85293855671154	60	2691.568458557129
74	-161.76171104859145	-220.06505552326993	104	2985.3828087449074
75	-141.1760540174887	-219.02704234556228	61	1792.9036408662796
76	-254.53822850354612	-219.48822658138022	125	4123.644284129143
77	-336.4992770176791	-220.98836825364046	127	3900.975361287594
78	-150.73276684485717	-220.0990568434027	62	2380.4737634658813
79	-194.22075951642321	-219.77557812681547	66	2456.504348754883
80	-215.87853839308096	-219.72746652516443	115	4611.835972607136
81	-162.8694882811414	-219.03407654657877	73	3352.3978567123413
82	-225.64894764209893	-219.11377378869346	84	2559.5989466309547
83	-181.45858825297262	-218.66549777041104	58	1768.2605555057526
84	-210.3640116711796	-218.56783322806714	81	2928.8369551301003
85	-121.90780773412217	-217.44387944325382	65	1247.6350257992744
86	-186.19391964376007	-217.08468450302976	70	2115.021750628948
87	-325.83316739655135	-218.32046271772896	73	1866.5878850221634
88	-152.91711085396582	-217.58559359566422	92	3218.4854444265366
89	-139.18207765904583	-216.7144434185907	62	2765.4246965646744
90	-400.7575627959444	-218.7368952798803	84	2934.9997619986534
91	-137.0145993921511	-217.84860945501367	66	1869.2523768544197
92	-128.0770604077208	-216.88332398138687	72	2164.129473745823
93	-158.2596310961198	-216.2596676740968	83	2935.1889362335205
94	-177.95504791109784	-215.85646115027578	84	2081.8617609143257
95	-137.29229009967224	-215.03808436849855	100	3570.3476155996323
96	-264.94268190254775	-215.5525647554475	68	2320.729467868805
97	-222.35513450197183	-215.62197873245287	100	3434.0589030385017
98	-171.52882890631696	-215.17659338067372	58	1719.8723157644272
99	-146.2045132615034	-214.486872579482	92	1630.2788318395615
100	-199.9088548338874	-214.3425357701197	96	2817.938269972801
101	-188.9520904091719	-214.50609645392288	84	2832.641672730446
102	-240.53728803023222	-215.1567382406733	65	2217.1141180992126
103	-177.07767045038563	-213.91201916253436	70	2718.3794019818306
104	-279.61313336901424	-213.59710403311664	110	3383.9034920334816
105	-243.6476230547921	-214.18251369878902	95	2517.074229478836
106	-252.43172976398614	-213.32835247599053	79	3205.5589377880096
107	-128.3376525673819	-212.8682830671166	62	1748.7321799397469
108	-169.6137547612887	-212.09420846174064	76	2882.594857275486
109	-262.6993794928478	-211.7987086031687	93	2803.123817205429
110	-59.34117156230914	-211.15662006484504	88	2555.8125267624855
111	-162.41423118667203	-210.97620140234224	78	2085.0050995349884
112	-203.740243590577	-211.8894802877359	60	2212.946537256241
113	-137.60857660435863	-210.19699416528576	70	2768.151319682598
114	-254.21908790012526	-211.71633400083115	69	2259.227914094925
115	-143.84312766706785	-211.57960983434833	73	1529.2477337121964
116	-220.49333431095704	-212.41112612789584	90	2810.180329620838
117	-121.67974086798353	-212.00705360100227	70	2423.6059151291847
118	-154.4585735437667	-210.89010944905408	117	5615.512289464474
119	-191.9676085224745	-209.5769506721369	90	2850.6148322224617
120	-125.79297439099051	-209.25329163123953	86	3007.5402204990387
121	-326.07037756846194	-210.9605878555904	74	3230.865403354168
122	-148.7822203401437	-210.1891692251953	65	2430.5850901007652
123	-150.08424641197539	-209.99256134995238	97	3780.7649888396263
124	-181.17909753448413	-208.63534654840072	58	2166.9574604034424
125	-113.03471525670015	-207.17051457173318	61	1600.414977490902
126	-167.87245302292527	-207.62508087939653	81	2738.5718589425087
127	-141.6801699713629	-206.34255667958007	59	1353.2168565392494
128	-134.58764144134852	-206.47938008658483	57	2458.5962792038918
129	-64.06073457874705	-204.7440447994958	78	2501.102899849415
130	-172.9508026221235	-202.70925832885268	77	2644.8262882232666
131	-216.16836030691076	-202.0553861333606	102	3081.005675673485
132	-196.01108654221707	-202.44836331590045	72	1678.5766931176186
133	-271.2932795858236	-203.75109984675507	85	2028.2593764066696
134	-132.09121450074718	-202.32848290434686	60	2502.951831817627
135	-379.63103826874175	-204.3468716880603	114	4064.360590815544
136	-208.28393749519483	-202.1638819207886	102	3408.0819594860077
137	-179.85935151026646	-202.8312966025552	76	2715.026065826416
138	-159.8280405089494	-202.57270033704782	106	4089.2034265697002
139	-344.23318701211434	-205.47928577947619	98	3498.5862240195274
140	-163.3141108036533	-203.516786208879	73	3360.858608365059
141	-156.99399684425282	-203.40457564923847	67	3423.8999769687653
142	-111.80678162661866	-200.58290890059544	92	2944.750909984112
143	-144.44186114696112	-200.5353117223649	60	2559.3937994241714
144	-181.28515574886387	-200.75806334431027	92	2058.787215232849
145	-179.08920256751748	-199.79236304898632	78	3593.162184238434
146	-243.50909395408368	-200.82039900955505	90	2601.135206282139
147	-223.99709787159972	-201.72384646042985	89	3281.367811203003
148	-239.19935091429775	-203.76148577450533	71	929.067956328392
149	-195.90708092816612	-202.8433526730862	113	3284.392414867878
150	-173.83312668928613	-202.29181520938988	99	2972.320582985878
151	-159.7264161960155	-202.23946775644478	75	2977.1336570978165
152	-48.643312127953536	-197.21576855887687	93	2998.7604546546936
153	-350.79287204432114	-199.08692902184396	97	4984.146697342396
154	-332.81047989581225	-200.29719857189752	114	5456.313271701336
155	-154.18579529347184	-199.76874344626705	68	2339.687958419323
156	-228.9532905096917	-200.1518775963008	96	3406.4065123796463
157	-195.57096913651804	-199.51602351741022	81	2988.1744751930237
158	-177.4153990654564	-197.33919086511023	134	4077.5154586434364
159	-171.4088943888646	-196.8466957981964	71	2754.3581906557083
160	-181.17444270181474	-195.61222824773125	71	2352.214111328125
161	-199.68927330894587	-195.04964489372196	74	3381.622079074383
162	-81.65199089875549	-193.8054465416138	84	2443.214999318123
163	-140.862266980417	-192.63225629988412	64	2676.881467282772
164	-169.94118892074488	-192.99910561195514	52	1806.9694738984108
165	-248.04384495701444	-192.78579010536868	94	2041.1576582193375
166	-230.93262618414374	-191.8580022840026	81	1585.8613476157188
167	-165.32179861449123	-189.89416972901503	87	3201.9740177989006
168	-160.22896419283077	-189.90134470650744	63	1579.0463401675224
169	-159.82853180475422	-189.97107067066597	90	3094.4926393032074
170	-89.72632717569606	-189.4708017242051	100	3292.2147622704506
171	-210.4091157116073	-189.97389346278212	77	2810.2462661266327
172	-137.9038915707323	-189.91961470348772	101	2902.9273515939713
173	-175.30032659077847	-188.72975117967354	100	3283.738015770912
174	-191.18142149413038	-188.97752381159728	68	2089.5709429979324
175	-135.5252465718051	-188.71775683657955	61	1506.4736374616623
176	-149.54793139722597	-188.80064671162643	70	1778.9934667944908
177	-175.29566908438085	-188.0160669153971	87	3139.9709461331367
178	-161.80600491769854	-186.28643055797158	80	2510.8401159644127
179	-101.76143746964934	-185.80156591069226	116	4243.906034767628
180	-280.09431293864304	-186.6517991128925	81	2849.837735235691
181	-183.8002059209192	-186.33419186069284	77	2261.030297577381
182	-224.1872245657094	-186.94129816054007	79	2574.647486746311
183	-182.8660316238552	-186.51770493263663	74	3100.09076744318
184	-138.76482352279396	-186.09499439075367	102	3574.4130286574364
185	-172.66074764169898	-185.7216947468974	88	3375.321186184883
186	-233.36130887490975	-186.82519475819234	90	2636.3496530652046
187	-284.1984216962593	-187.79553636267252	107	3574.0571135282516
188	-169.0353880206735	-186.24308310152523	85	3455.5013553500175
189	-159.18139920943293	-186.30510575851005	60	2018.2607098817825
190	-178.46698743893307	-186.69406526128122	119	3449.8568675518036
191	-167.64312031494745	-184.3860014743407	95	3147.3152964115143
192	-169.27022842013133	-184.70536413798402	72	2482.578912973404
193	-80.68432888494209	-184.2361291724119	90	3359.8550250530243
194	-185.63651293452742	-184.50718740843578	56	1922.813903927803
195	-239.5770834098471	-185.11730657178975	79	3433.3245426416397
196	-184.35091137779614	-185.5832335151375	77	2240.07987421751
197	-166.66614411682093	-184.6101984875561	94	3399.9566991329193
198	-148.17267844830087	-183.87571872464844	71	3279.538307070732
199	-168.8370551921182	-183.84906749975536	83	3246.245556116104
200	-148.47342829810054	-183.8715320050682	90	2787.219506919384
201	-177.87310022476964	-183.65335621685912	64	1838.0768429636955
202	-164.72086248535874	-183.4134430690986	93	2392.462990105152
203	-217.3898273959943	-183.1842602905418	86	3440.798077583313
204	-95.66645567785476	-182.37820865913062	103	2758.6483189463615
205	-169.06330943686135	-181.28365594693105	95	3821.2352699637413
206	-170.27229508919214	-180.55716755123206	76	2656.810528278351
207	-189.3572842975929	-179.93266809116875	73	2856.084864318371
208	-274.8163036267165	-181.38295176502356	123	3458.475856423378
209	-227.36084036798917	-181.95470508786215	104	2930.821261495352
210	-330.7363146272081	-182.62833810899446	100	3971.833300590515
211	-172.12053091489332	-183.7449654293171	56	2244.3564267754555
212	-170.68952976116043	-183.82689907856943	56	1652.4945250749588
213	-195.7285453079998	-183.74757533319737	77	2706.555407166481
214	-182.91261039687043	-184.19613012322225	76	3498.925104856491
215	-195.35856548480126	-183.6133526735656	69	1969.2396866083145
216	-204.88434102500366	-184.2177211226541	75	2283.002641737461
217	-154.37531761141946	-183.5630872939458	69	2515.588487803936
218	-145.9011969100855	-183.80290369040222	67	2627.671615958214
219	-280.79107748162994	-185.05372056107416	111	5009.288437783718
220	-185.74050663668442	-184.9920660869574	60	1637.0786672234535
221	-152.68426510453108	-185.25831649006173	65	1720.9647873044014
222	-228.86291174258525	-184.2958663333699	68	2002.0710450410843
223	-196.89602328795087	-184.77224061998183	109	3458.922636926174
224	-121.51398398908395	-184.4893667346067	65	1679.8208901286125
225	-289.2150021891521	-185.55902915693014	82	2907.9809643030167
226	-156.44630050704546	-185.98884683267616	66	1250.7768157720566
227	-150.50842646701852	-185.81692577766714	67	1915.5477048754692
228	-158.16209804673898	-185.98011318435402	58	2083.1427478790283
229	-190.49680443578228	-186.5336692536059	72	1516.3577944636345
230	-243.9065247836186	-188.3143206417729	97	2461.0827053189278
231	-160.84972003124068	-188.19450794285325	94	3396.3263659477234
232	-26.946418125285803	-186.32102336679753	93	3165.6467989087105
233	-164.35205865908705	-186.0075676451824	87	2608.777675509453
234	-189.51992579823755	-185.1979304789687	98	3054.60160446167
235	-146.42749605533314	-185.33987386069728	82	3886.90236222744
236	-274.0721928073715	-184.29473677692135	75	1561.7813094854355
237	-228.03644800585232	-184.49030618791798	101	5638.840872466564
238	-125.54655877195005	-183.95255576476634	98	5123.231325447559
239	-172.28943098184024	-184.07593586845834	87	2391.934692978859
240	-197.61598585272984	-182.62428041143474	91	2379.694371819496
241	-194.51800183094298	-182.93322982754646	64	2224.479704976082
242	-162.63405627302478	-182.9890720001086	71	1855.5067636966705
243	-153.60920489475717	-183.402957379001	77	2360.211478829384
244	-58.237318287908835	-182.54944705366387	84	2668.0041330456734
245	-181.1706671140708	-182.54831350282433	67	2677.27678835392
246	-256.6577237822702	-183.31631866336645	80	2451.185462653637
247	-28.260868158862735	-181.1851481109385	96	1441.9992334246635
248	-173.41221770777935	-180.68430771327698	92	2849.4274166822433
249	-224.0037921037258	-180.53385663594455	72	1323.7628557682037
250	-168.5501627959929	-180.2629960603785	57	2037.6151331067085
251	-66.03433967483865	-179.19568133746316	98	3412.80971544981
252	-171.1296647896327	-179.30858478888516	75	3111.0315254330635
253	-187.30217316341313	-180.6814447991372	73	1684.9359283447266
254	-185.80693338123803	-179.0479206539582	66	2067.923904836178
255	-214.60656831254113	-177.87758489570797	98	3418.27426558733
256	-45.47523148896359	-176.80124267982174	110	2092.6262160539627
257	-138.78038978646316	-175.90844168256203	109	4046.26698410511
258	-53.24441498492604	-174.4992678790809	110	3363.8127353191376
259	-341.35363541497907	-176.12241873402664	94	2981.47406488657
260	-347.73111047854525	-177.86818324976605	97	2448.0020857453346
261	-54.73776104243524	-176.61633491650488	87	2673.992949306965
262	-156.79961470019435	-176.19168483126973	88	3141.0441502928734
263	-145.75083046640168	-176.82632680718703	67	2637.5689559578896
264	-233.1744745294794	-177.74030906014798	82	2647.7168865799904
265	-189.0410924188905	-177.92941701557518	59	1739.6432701349258
266	-186.16314733466442	-177.3167368410965	73	3018.603975534439
267	-195.02134940933365	-176.9611796453063	85	2021.4697635769844
268	-155.30053252763082	-176.86195918900077	66	2433.846794128418
269	-121.33628801578323	-176.47688318724784	64	3087.6374856233597
270	-209.5507534359373	-176.96918241131897	84	2840.490552484989
271	-195.21935190528126	-178.0136678046812	86	4157.1411373615265
272	-237.7750179673894	-178.2846173319662	109	3921.8471397161484
273	-179.6696897232864	-178.69814008595185	102	3302.432473897934
274	-191.19664131970745	-178.85552934069372	90	3420.9225929379463
275	-51.23360803034508	-177.4699074252107	106	3448.517929852009
276	-213.4868741212739	-178.2418047276807	109	4868.751747310162
277	-239.17022255201013	-179.1291541450548	73	1778.8802334070206
278	-168.85079736883208	-179.06534353400974	77	2383.6794596612453
279	-211.75392729396373	-179.55987741892324	80	2797.7503462433815
280	-217.36447454984716	-180.70446194446976	77	2245.672986984253
281	-160.40990268974144	-179.51946778358953	60	2032.9261640906334
282	-179.20834023412522	-179.47400376688864	56	1855.8463382720947
283	-129.0890221216955	-178.5324374060568	61	2024.9864062666893
284	-173.00579538397665	-178.43481130467183	59	2182.07158100605
285	-192.17063326973837	-178.96358169820599	70	2220.773439884186
286	-194.24323674131267	-179.17726970909322	65	2360.563511431217
287	-296.4049394597113	-179.80146407131892	155	5313.009893119335
288	-136.2756086891191	-178.33688176431758	56	1869.6803787350655
289	-71.38689486999641	-177.3700650004495	78	2693.122099876404
290	-170.41043494849902	-177.4812435721234	62	2636.531089603901
291	-209.56740471050318	-177.78916849560432	107	4830.006621301174
292	-169.38995452864404	-177.80646388385875	74	2623.1538470983505
293	-245.61637132112668	-178.56236628881908	57	1312.3699332475662
294	-163.40840646435174	-179.3814165618825	66	1692.0422994494438
295	-186.68214741812284	-179.3917693785518	74	2676.2414699196815
296	-148.35656243457873	-178.48859590354917	83	3450.441485583782
297	-170.85398436160023	-178.35496296279476	109	3618.021941423416
298	-176.59686076590918	-178.45328689001343	73	3071.7415823936462
